Min Leaf Split,Accuracy,SKlearn Accuracy,F1-Score,SKlearn F1-Score,Precision,SKlearn Presicion,Recall,SKlearn Recall,Fitting Time,SKlearn Fitting Time,Prediction Time,SKlearn Prediction Time,Tree Depth,SKlearn Tree Depth,Model Size,SKlearn Model Size
2,0.9499792960662526,0.942815734989648,0.9500298354852659,0.9427066136325994,0.9259779037387734,0.9270155070372462,0.9338333333333335,0.9088333333333333,0.8323413199999777,0.0008961200002886472,0.010548219999873255,0.00014792000019951955,9.9,10.0,3487.6,5715.0
3,0.9485507246376812,0.9413871635610767,0.9485787128261816,0.9411645487056413,0.9257967443184836,0.926987657270266,0.9296666666666669,0.9046666666666667,0.8187091100000543,0.0009008199998788768,0.010324349999973493,0.00017006000016408506,9.8,9.4,3239.8,5398.2
4,0.944265010351967,0.942815734989648,0.9443639045930418,0.9427477070200563,0.9176755321972714,0.9235755693581782,0.9253333333333333,0.9129999999999999,0.9875817500002085,0.001200280000011844,0.011725549999937357,0.0001884399998743902,9.2,9.0,2944.8,5081.4
5,0.9414078674948241,0.9385507246376813,0.9415013375191956,0.9382234517923728,0.9168387393604785,0.9258012068446853,0.917,0.8963333333333334,0.8516913800003749,0.0008510300003763405,0.008642019999751938,0.000153659999705269,8.9,8.8,2767.8,4851.0
6,0.9428364389233955,0.9471221532091099,0.9429524601782797,0.9470236289057746,0.9170198987807684,0.9359823662649751,0.9211666666666668,0.913,0.8009705300002679,0.0008624400003100164,0.007993159999932687,0.0001420600001438288,8.4,8.5,2556.3,4635.0
7,0.9399792960662527,0.9413871635610767,0.9400429972520479,0.9411356916968167,0.9139645579862972,0.9315186335403727,0.9171666666666669,0.9005000000000001,0.7917102600004,0.0008488499996019527,0.007403770000200894,0.00013079999989713543,8.2,8.2,2366.5,4375.8
8,0.9399792960662527,0.9442443064182194,0.9400339543462133,0.9440446553869807,0.9143531991358079,0.9349042776868863,0.9171666666666669,0.9046666666666667,0.7980117599998267,0.0008326299999680487,0.006956759999775386,0.00012741999998979736,8.1,8.0,2279.0,4231.8
9,0.9385507246376813,0.9399585921325052,0.9385445609442629,0.9398799563488771,0.914376978898718,0.9203182968400361,0.9131666666666668,0.909,0.7786986399998568,0.0008276000000478235,0.006474020000132441,0.00014657000047009207,7.7,7.7,2136.8,4044.6
10,0.9356935817805384,0.9399585921325052,0.9356127854885117,0.9397250196309554,0.9158690423907816,0.9289558629776021,0.9006666666666667,0.8965,0.8267608300000575,0.000844159999905969,0.006317740000304184,0.0001506100003098254,7.4,7.4,2066.4,3929.4
11,0.9328364389233956,0.9356728778467909,0.9325802181526692,0.9352165117432056,0.9179457619675011,0.9326679841897233,0.8881666666666665,0.8798333333333332,0.7899320299995451,0.0008256599998276215,0.007371619999867107,0.0001602199999979348,7.0,7.0,1953.5,3756.6
