Min Leaf Split,Accuracy,SKlearn Accuracy,F1-Score,SKlearn F1-Score,Precision,SKlearn Presicion,Recall,SKlearn Recall,Fitting Time,SKlearn Fitting Time,Prediction Time,SKlearn Prediction Time,Tree Depth,SKlearn Tree Depth,Model Size,SKlearn Model Size
2,0.9413664596273292,0.9342443064182195,0.9412350692569402,0.9340443303101147,0.9155576018184715,0.9111594516594517,0.9171666666666669,0.9005000000000001,0.959579720000147,0.0010205600001427229,0.012264710000272317,0.00017016999972838676,9.9,9.6,3863.5,6187.2
3,0.9413664596273292,0.9342443064182195,0.9410050173288989,0.9335791592128846,0.9258632671676151,0.9276961082395865,0.9046666666666667,0.8796666666666667,0.9259582200003933,0.000895690000106697,0.010788079999838374,0.00013903999988542636,9.5,9.3,3568.5,5812.8
4,0.9413664596273292,0.9313664596273293,0.9410050173288989,0.9307552373030715,0.9258632671676151,0.9223257418909594,0.9046666666666667,0.8796666666666667,0.9483610100000078,0.0008825900000374532,0.010387129999980971,0.00015525999988312832,9.3,9.2,3285.3,5553.6
5,0.9427743271221531,0.9356728778467909,0.9425052601307492,0.9352130109986696,0.9235141235576018,0.921872982894722,0.9129999999999999,0.8921666666666667,0.9505917799999224,0.0008805300003587035,0.009259790000214707,0.00012328000029810938,8.8,8.7,3072.9,5323.2
6,0.9399171842650104,0.9371221532091099,0.9395870840111857,0.9368142732253044,0.9230088027914114,0.9235115930768105,0.9048333333333334,0.8965,1.0863408399998662,0.0009114299999055219,0.010150189999876602,0.00018948999986605485,8.4,8.3,2801.5,5049.6
7,0.9413664596273292,0.9342857142857144,0.9410973185482719,0.9336275192237771,0.923067092327962,0.9249435918772303,0.9090000000000001,0.884,1.032213420000153,0.0010343600002670427,0.009125700000004145,0.00015643999995518243,8.1,8.2,2625.4,4848.0
8,0.9399378881987579,0.9313871635610766,0.9397181349647262,0.9310061001193777,0.9199331891940588,0.912743005786484,0.9090000000000001,0.8923333333333332,0.9357376099998873,0.0008677899999383953,0.007967359999929613,0.0001402099996994366,8.0,8.1,2534.3,4704.0
9,0.937080745341615,0.9314078674948242,0.936796118989539,0.9310700647517789,0.9190233100233101,0.9110877906312688,0.9006666666666667,0.8923333333333332,0.9252571399996669,0.0008596400000897119,0.007912030000261439,0.00016124000030686146,7.7,7.8,2388.4,4473.6
10,0.9385093167701865,0.9342443064182195,0.9384016160010024,0.9340788250668158,0.9156824769433465,0.9096955749564446,0.9088333333333335,0.9046666666666667,0.9341777799998454,0.0008711100001164596,0.007048279999980878,0.0001317000002018176,7.5,7.5,2244.2,4315.2
11,0.9413664596273292,0.9371221532091099,0.9412920366914233,0.9369428070588659,0.917056103316973,0.9141267989049098,0.9171666666666667,0.9088333333333335,0.9273288700005651,0.0008436199997959193,0.006754100000398467,0.00013203000016801525,7.4,7.3,2184.2,4214.4
12,0.9442443064182194,0.9371221532091099,0.944291275158888,0.9371557430425138,0.914158667419537,0.9064746249918663,0.9296666666666666,0.9171666666666667,0.9594578700001876,0.0008693600002516177,0.006836140000086743,0.00013737999961449532,7.3,7.2,2113.3,4084.8
13,0.9399585921325052,0.9342443064182195,0.9400172344958421,0.934273193618585,0.9089922637748724,0.9047758135584223,0.9213333333333334,0.9088333333333335,0.9996336600001087,0.0008812000003672437,0.006508070000018051,0.00015315000000555302,7.0,7.0,2019.8,3940.8
14,0.9385300207039338,0.934265010351967,0.9386004177082672,0.9342872657829403,0.904446809229418,0.9039226667052755,0.9213333333333334,0.9088333333333335,1.1265837899998588,0.0010371100001066226,0.008287679999921239,0.0002301600003193016,6.9,6.8,1960.3,3840.0
15,0.9385300207039338,0.9371221532091099,0.9386004177082672,0.9370951300275392,0.904446809229418,0.907461128243737,0.9213333333333334,0.913,1.2929836299999806,0.0014534300000377698,0.009296059999905992,0.00029413999982352834,6.7,6.8,1917.8,3811.2
16,0.9385300207039338,0.9356935817805384,0.9386004177082672,0.9355808329211369,0.904446809229418,0.9072230330056417,0.9213333333333334,0.9088333333333335,1.2035333900003025,0.0012064399998052977,0.006681540000136011,0.00020694999966508476,6.7,6.8,1883.8,3782.4
17,0.9356521739130436,0.9328157349896481,0.9357003237411284,0.9327627720363383,0.9036775784601871,0.9039794432620519,0.913,0.9046666666666668,1.089679189999697,0.0009531500003504334,0.006462170000122569,0.0001572400000441121,6.7,6.7,1858.3,3724.8
18,0.9356521739130436,0.9342443064182195,0.9357003237411284,0.9342339326972084,0.9036775784601871,0.9033089543306934,0.913,0.9088333333333335,0.9684959200001686,0.0008759200001804857,0.005522019999625627,0.00015149999999266583,6.5,6.6,1798.8,3638.4
19,0.9356521739130436,0.9313664596273293,0.9357003237411284,0.9313334362570828,0.9036775784601871,0.9001461099287186,0.913,0.9046666666666668,0.9232424799994987,0.0008568399998694076,0.005132399999820336,0.0001323200000115321,6.5,6.5,1764.8,3566.4
