Min Leaf Split,Accuracy,SKlearn Accuracy,F1-Score,SKlearn F1-Score,Precision,SKlearn Presicion,Recall,SKlearn Recall,Fitting Time,SKlearn Fitting Time,Prediction Time,SKlearn Prediction Time,Tree Depth,SKlearn Tree Depth,Model Size,SKlearn Model Size
2,0.9385093167701865,0.9327536231884059,0.9386057822120385,0.9328374543765172,0.9074790660225442,0.9013534798534799,0.917,0.909,0.1652192700001251,0.0006829799998740782,0.021511500000087835,0.00015736999976070364,12.7,10.6,7253.1,6969.8
3,0.9313664596273293,0.9556728778467909,0.9307043417252376,0.9554592646613301,0.9308178053830227,0.9454174014391408,0.8674999999999999,0.9250000000000002,0.08404852999992726,0.0006378199999744538,0.02014141000036034,0.0001555399994686013,11.3,11.2,6687.3,6869.0
4,0.9227743271221532,0.9370600414078675,0.9224364055384819,0.9363598255626073,0.8976716061716061,0.9392225962443355,0.8801666666666665,0.8753333333333334,0.07720180999967852,0.0006073399998058448,0.01722221999989415,0.00012722000010398916,10.9,9.7,5837.9,6451.4
5,0.9513871635610766,0.9399378881987579,0.9510318564557281,0.939396251812127,0.9445467720685112,0.928459583132352,0.9128333333333334,0.8965000000000002,0.06855254999991303,0.000613099999827682,0.014977279999402526,0.00011448999957792693,10.8,11.0,5071.1,6120.2
6,0.9327950310559008,0.9485093167701864,0.9322317649764109,0.9483747353695714,0.9157208089816786,0.9299730197338894,0.8878333333333333,0.9213333333333334,0.06730735000037384,0.0006332300001304248,0.014627749999999651,0.00014354999984789174,9.8,9.3,4822.2,5745.8
7,0.9385093167701865,0.9370393374741202,0.9383538059076748,0.9369692312437883,0.9156392914653784,0.908212681038768,0.9084999999999999,0.9131666666666668,0.0645682800000941,0.0005944500000623521,0.013469380000242382,0.00012577999987115618,10.2,9.1,4504.8,5357.0
8,0.9384472049689441,0.9499585921325051,0.9387420401852304,0.9500764309844909,0.9038667781493869,0.926205385069703,0.9255000000000001,0.9336666666666666,0.059554120000211694,0.0006398699997589574,0.011769350000031409,0.0001280599997699028,9.1,9.8,3902.5,5213.0
9,0.9427950310559007,0.9485300207039338,0.9425905401446864,0.9483466286506754,0.9102623825449914,0.9335669185886578,0.9293333333333333,0.9171666666666667,0.06067112999971869,0.0005960199998298777,0.011445149999963178,0.00013342999991436955,9.3,8.3,3772.8,4968.2
10,0.9442028985507246,0.9456935817805384,0.9435655810434656,0.9456144594396839,0.931143851128506,0.9231048733874821,0.9086666666666666,0.9211666666666668,0.05857857999999396,0.0005967899998722715,0.010605909999867436,0.00012331000034464522,9.0,8.7,3501.8,4838.6
11,0.954265010351967,0.9441821946169773,0.9541203166624322,0.9441852509001448,0.9391759062193845,0.920082706343576,0.9295000000000002,0.9213333333333334,0.05342142999979842,0.0005813000001580803,0.00945525000024645,0.000142529999720864,8.8,8.6,3087.8,4536.2
12,0.9399378881987579,0.9513664596273292,0.9402208313877602,0.9512982779150623,0.9062658862876255,0.9345264518090606,0.9255000000000001,0.9255000000000001,0.05310330999964208,0.0005814599997393088,0.009520379999594297,0.0001280999998925836,9.0,8.2,3123.4,4565.0
13,0.9284472049689441,0.9442236024844721,0.9280531118680677,0.9441428371658482,0.9191724941724942,0.9252605510431596,0.8756666666666666,0.9175000000000001,0.0531547500002489,0.0005853599997863058,0.009245839999857708,0.0001396200001181569,8.4,7.9,2995.4,4493.0
