Min Leaf Split,Accuracy,SKlearn Accuracy,F1-Score,SKlearn F1-Score,Precision,SKlearn Presicion,Recall,SKlearn Recall,Fitting Time,SKlearn Fitting Time,Prediction Time,SKlearn Prediction Time,Tree Depth,SKlearn Tree Depth,Model Size,SKlearn Model Size
2,0.9442028985507246,0.9399171842650104,0.9442764254350019,0.9393890818812703,0.9166468386685777,0.9322062719888807,0.9253333333333332,0.8926666666666666,0.1683128000000579,0.0006163299998661387,0.02409803999998985,0.0001591199998074444,11.9,10.2,7817.2,7427.6
3,0.9442236024844721,0.934265010351967,0.9436858019634384,0.9338894774656407,0.94343704121965,0.9139499847978108,0.8921666666666667,0.892,0.08493063999994774,0.0006150900000648108,0.02071739000020898,0.00013745999967795797,11.4,10.2,7015.6,7067.6
4,0.9441821946169773,0.9370393374741202,0.9438897494921255,0.9364914240964408,0.9321366459627329,0.9278640120367809,0.905,0.8883333333333333,0.07340426000027947,0.0005918200002270168,0.017212350000045264,0.00013541999978770037,10.6,9.2,5870.7,6290.0
5,0.9284886128364389,0.9399171842650104,0.9278352773438036,0.9398729695536276,0.9147213431115032,0.9181493361710753,0.8761666666666666,0.9088333333333333,0.06881416000032914,0.0005982200000289595,0.014911960000245018,0.00013288999980431981,9.6,9.7,5033.2,5987.6
6,0.9427950310559007,0.9213250517598345,0.9425265317388432,0.9204424098835104,0.9210447813056509,0.917989585293933,0.9126666666666667,0.8508333333333333,0.0643513000002713,0.0005975000000034925,0.013906520000273304,0.00013077999974484556,9.3,8.7,4690.8,5872.4
7,0.9370600414078675,0.9399585921325052,0.9371658869834626,0.9398476868585608,0.9039076664076665,0.9136827254870734,0.9170000000000001,0.9128333333333334,0.05914501999977802,0.0005778499998996267,0.012848870000016176,0.0001256400000784197,10.3,8.8,4312.5,5541.2
8,0.9441821946169773,0.942712215320911,0.9436845054719546,0.9423660785282719,0.9353170090778786,0.9247309284917982,0.9001666666666667,0.9088333333333333,0.057792840000365685,0.0005749999998442945,0.01201452999976027,0.00012683999993896579,9.5,9.0,4042.0,5339.6
9,0.9484679089026915,0.9399378881987579,0.9480984179451462,0.9399489609896104,0.9409749960184742,0.909529796290666,0.9086666666666667,0.9215,0.059367119999842545,0.0006044900001143105,0.011390659999960917,0.00015345999981946078,8.9,8.5,3675.6,5022.8
10,0.939896480331263,0.9456521739130436,0.9399518559821456,0.9455394581151906,0.9119347174564567,0.9242462762680154,0.917,0.9215,0.055562849999842,0.0005727900002966635,0.010542070000155945,0.00012586999946506694,9.6,7.7,3510.4,4691.6
11,0.9484679089026915,0.9456728778467909,0.948201039528983,0.9453253919428732,0.929947903947904,0.9343686538903931,0.9208333333333334,0.9088333333333335,0.055806140000095185,0.0005811399998492562,0.010639819999960309,0.000130390000231273,9.0,7.6,3558.4,4634.0
12,0.9499378881987578,0.952815734989648,0.949769658789093,0.9527818016886412,0.9252861920688007,0.9320885636103029,0.9293333333333331,0.9338333333333335,0.05523776000009093,0.0005750399997850764,0.009970029999931285,0.00011274999978923006,8.8,7.6,3334.3,4288.4
